id,created_at,text
669164089755590657,2015-11-24 14:42:06,RT @billboardbiz: Justin Bieber Breaks the Beatles &amp; Drake's Record for Most Simultaneous Hot 100 Hits https://t.co/evBmzqdGe9
669163914114936832,2015-11-24 14:41:24,THANK YOU https://t.co/TgVoB619V3
669163807030153217,2015-11-24 14:40:58,Love to @Skrillex and @diplo  https://t.co/PARnKes6x8
669163458433167360,2015-11-24 14:39:35,@BertShowBert love yah buddy
669038402403065856,2015-11-24 06:22:39,@StephenAtHome thank you for the understanding as sometimes life kicks our ass and we need to deal with it. I will see u soon. Thank you
669038088547471360,2015-11-24 06:21:25,My apologies to @colbertlateshow as I won't be able to make it to nyc tomorrow for the show. I look forward to making it up to you soon
668876955106676736,2015-11-23 19:41:07,#PURPOSE https://t.co/ZWMJvhasht
668876233128542208,2015-11-23 19:38:15,"RT @billboard: Watch Justin Bieber perform ""What Do You Mean?"" and ""Sorry"" at the #AMAs https://t.co/fH9yrEimgt https://t.co/S05Blv4CET"
668876193647595521,2015-11-23 19:38:06,"RT @complex_uk: Justin Bieber goes top with 649,000 copies sold in its first week https://t.co/gb6S7rYuk3 https://t.co/uGBW2glVAS"
668876136340848640,2015-11-23 19:37:52,Love these guys https://t.co/UIZO9MkGrQ
668875898100166656,2015-11-23 19:36:55,"RT @Forbes: Justin Bieber's ""Purpose"" has broken Spotify's record for most streams in one week https://t.co/fUXSGV1HKE https://t.co/BDQiICZ…"
668875823324106752,2015-11-23 19:36:38,RT @officialcharts: .@justinbieber is on course to keep his spot at the top in the #OfficialUKSinglesChart https://t.co/gBphSBtSHU https://…
668875710887391233,2015-11-23 19:36:11,RT @RollingStone: Watch Justin Bieber sing in the rain during #AMAs finale https://t.co/64UOEsBVDw https://t.co/9mkWqEPunm
668875587587444736,2015-11-23 19:35:41,RT @DefJamRecords: Beliebers! New characters added to @justinbieber's #PurposePro skateboarding game. Stream on @Spotify to unlock! https:/…
668737895725797377,2015-11-23 10:28:33,RT @diplo: We got drunk in nyc one night w @scooterbraun and Jb then we won an AMA ...
668638610627780608,2015-11-23 03:54:02,My turn. #BieberOnAMAs
668568068470116352,2015-11-22 23:13:43,Ready #bieberonAmas
