id,created_at,text
668701895049940992,2015-11-23 08:05:30,🎄🎅🏼 Friends! Watch me make ✨magic✨ as your festive fairy for the @hm #HappyandMerry campaign! See the… https://t.co/WOM4t3Z4be
668618423887245312,2015-11-23 02:33:49,keeping my rep up 😻 https://t.co/SrEAIvg9H8
667810396686778368,2015-11-20 21:03:00,"Jingle Bells, Ginger-Boo smells, Ginger-Bae's selfie slays.
Cypress, Snow and Mr. &amp; Mrs. Claus
Are… https://t.co/6C2hUmrkhf"
667450029305556993,2015-11-19 21:11:02,"Ginger-Bae and Ginger-Boo ""taking care of business"" before the 🎉🎅🏻🎄 https://t.co/8fCcsmiNvQ https://t.co/EQ7QuirKm9"
667072102252449792,2015-11-18 20:09:17,☀️⛄️💦 https://t.co/8fCcsmiNvQ https://t.co/dvbWHCYurc
666708507580760064,2015-11-17 20:04:29,"That awkward moment when you're trying to catch the bus to the Claus party, and some people think… https://t.co/8tlQEZdrtO"
666348211666194433,2015-11-16 20:12:48,"Just a little over a month away, and even Mrs. Claus can't find anything to wear to the holiday… https://t.co/cp6Gsaagyt"
665365686189862912,2015-11-14 03:08:36,RT @chrisrock: Pray for Paris. https://t.co/9scg3W27nD
665365647262486528,2015-11-14 03:08:26,RT @stylinfunk: Paris right now... Truly remarkable #NotAfraid https://t.co/k83eZena6Y
665296538243956736,2015-11-13 22:33:49,"Guys, it's time to #PrayForParis right now."
664888962931032064,2015-11-12 19:34:16,WTF SHE'S BACK AND BRINGING THE CRAZIEST 🔥 MY GIRL @MissyElliott https://t.co/7DjBdHpLuQ (dat video doe 💥💥💥)
664203934253211648,2015-11-10 22:12:12,sounds right  https://t.co/vG4Z6CgN1W
664198605994004481,2015-11-10 21:51:02,"When auto correct turns the word ""food"" into ""goodbye"" is when I know it's end of days 😑"
664182323282243584,2015-11-10 20:46:20,Meet me for coffee... https://t.co/33pF7auSXG
662843663517659136,2015-11-07 04:06:59,"Just left the most haunting play, sweating from the intensity! U must see ""Thérèse Raquin"" on Broadway if ur in NYC! All hail Judith Light!"
662764063462727680,2015-11-06 22:50:40,"So proud of my bro and his band @HUDSONtheband for making a music video with a great message. Watch ""Cast Out"": https://t.co/YGd1aIVHMg"
660687440420605952,2015-11-01 05:18:55,"#Visionary 
Repost @jere_my https://t.co/NQf0NXVcA6"
660670915781394433,2015-11-01 04:13:15,Au revoir girl 👋🏼 @ FrenchQuarter NewOrleans https://t.co/k6Wu7EuF8r
660657833013153792,2015-11-01 03:21:16,*Drops mic on your Halloween* 🎤⤵️ https://t.co/O53j23yFI1
660582811380813824,2015-10-31 22:23:09,"Shoutout last night's sad girls club 
🎨 by @manthony783 https://t.co/tTdhis2Hgg"
660302872119128064,2015-10-31 03:50:47,🦀 Crabitat for humanity 🦀 @ Bayou Hot Wings https://t.co/iEa2MDw972
659530568254644224,2015-10-29 00:41:55,To love me is to accept all of me AND my fuzzy plane socks. https://t.co/Sao9TI9QkC
659314990017482754,2015-10-28 10:25:17,"Because all popstars are code ""mom""
#meta @madonna 
#Repost @tiersz https://t.co/Ddfih998tl"
659313356579336193,2015-10-28 10:18:48,"Well, that was unrehearsed but 💅🏼 ILY @madonna my 👑QUEEN👑

#Repost @bahjournalist https://t.co/QyfuC03nfO"
659091544473927680,2015-10-27 19:37:24,When you could go anywhere for your bday dinner but you're so OG that you go to OG with all your… https://t.co/Ihj8FWsjR9
659091381713965056,2015-10-27 19:36:45,T-minus 3 days to the release of The Prismatic World Tour Live! Share your favorite memories here: https://t.co/m0Pzgs7gE9! #KatyPWTL
658806516959481856,2015-10-27 00:44:48,"🎂Happy Birthday🎂 to our next great leader hillaryclinton !!!

This past weekend, I was honored to be… https://t.co/P5WpeXt9ep"
658574278422491137,2015-10-26 09:21:58,"Celestial body. 
thebroadmuseum https://t.co/NefoL92Peq"
658569885061021696,2015-10-26 09:04:30,"Apropos, Koons! 🎂🎈🎉 thebroadmuseum https://t.co/lS9rMugSZO"
658567878770212864,2015-10-26 08:56:32,"When you're 31 but you still feel so small thebroadmuseum #broad2015 (yes, I was a museum rat on my 🎂) https://t.co/0mJNEWzZQq"
658378016075051008,2015-10-25 20:22:05,Damn right by popular demand 💅🏼🎂 https://t.co/yorJQ8wZfL
658376683351707648,2015-10-25 20:16:48,@Fanclub_KP @katyperrylately I loved this. Thank you. It made me feel so special.
658166418731614208,2015-10-25 06:21:17,Omg I have to be an uneven number for a whole year. My OCD is flaring 🎂🙍🏻🎂
658076348985032704,2015-10-25 00:23:22,"#Repost hillaryclinton 
My birthday gift to fellow Scorpio, Hillary, says it all. ♏️ -Katy https://t.co/0rbAXVcwHf"
658067127786688512,2015-10-24 23:46:44,"#Repost hillaryclinton 
👆 #ImWithHer -Katy https://t.co/2ZJMYrWi9c"
